2018-04-20 19:21:57,"b"" #JDWPL GOAL/G\xc3\x94L: @tnsfc 0-1 @the_nomads (Bakare, 32')\n\nNomads are looking to extend their grip on second place, and they'r\xe2\x80\xa6 https://t.co/tzfZkWnVtH""",London
2018-04-20 19:20:15,"b""33'| Goal for Connah's Quay. \nTNS 0-1 CQN. #JDWPL""",London
2018-04-20 19:17:19,"b""30'| TNS 0-0 CQN\nGreg Draper shoots from distance, but the ball goes high over the bar and into the woods behind the stand. #JDWPL""",London
2018-04-20 19:13:44,"b""26'| TNS 0-0 CQN\nSteve Saunders rises highest to get a head on the ball from a corner, but it goes wide of the post. #JDWPL""",London
2018-04-20 19:12:15,"b'RT @bangorcityfc: \xf0\x9f\x93\xb0 MATCH PREVIEW | @WPL_Official #JDWPL Matchday 31\n\n#Citizens v @CefnDruids \n\xf0\x9f\x97\x93\xef\xb8\x8f Sun, 22 April\n\xe2\x8f\xb1\xef\xb8\x8f 3pm Kick Off\n\nDETAILS \xe2\x8f\xa9\xe2\x80\xa6'",London
2018-04-20 19:10:08,"b""23'| TNS 0-0 CQN\nJohn Danby gets a strong hand on Ryan Brobbel's effort to keep it out. #JDWPL""",London
2018-04-20 19:09:02,b'RT @the_nomads: #JDWPL PHOTOS: Early action here at Park Hall as the scores remain level https://t.co/6sy6kTLrKV',London
2018-04-20 19:08:43,b'#JDWPL PHOTOS: Early action here at Park Hall as the scores remain level https://t.co/6sy6kTLrKV',London
2018-04-20 19:08:39,"b""21'| TNS 0-0 CQN\nBlaine Hudson is bundled to the ground close to the TNS corner flag. Free-kick. #JDWPL""",London
2018-04-20 19:03:15,"b""16'| TNS 0-0 CQN\nEbbe fires an effort from outside the box, Danby saves low but can only force it out for a corner. #JDWPL""",London
2018-04-20 19:00:03,"b""12'| TNS 0-0 CQN\nFree-kick to the visitors on the half-way line. #JDWPL""",London
2018-04-20 18:52:16,"b""5'| TNS 0-0 CQN\nDean Ebbe closes down Nomad's keeper John Danby and forces him into kicking it out for a throw-in. #JDWPL""",London
2018-04-20 18:48:51,"b""RT @tnsfc: 1'| TNS 0-0 CQN\nWe're underway at Park Hall. #JDWPL""",London
2018-04-20 18:47:48,"b'RT @bangorcityfc: \xf0\x9f\x93\xb0 MATCH PREVIEW | @WPL_Official #JDWPL Matchday 31\n\n#Citizens v @CefnDruids \n\xf0\x9f\x97\x93\xef\xb8\x8f Sun, 22 April\n\xe2\x8f\xb1\xef\xb8\x8f 3pm Kick Off\n\nDETAILS \xe2\x8f\xa9\xe2\x80\xa6'",London
2018-04-20 18:47:47,"b""1'| TNS 0-0 CQN\nWe're underway at Park Hall. #JDWPL""",London
2018-04-20 18:44:11,"b' #JDWPL RT @YClwbPelDroed: PERMUTATION |\n\nIf Carmarthen Town fail to win this evening, they will be relegated from the JD Welsh Premier League. #JD\xe2\x80\xa6'",London
2018-04-20 18:39:55,"b' #JDWPL RT @YClwbPelDroed: LINE-UP | Carmarthen Town (@CarmarthenAFC) v Aberystwyth Town (@AberystwythTown) \n\nIdzi, Cummings, Knott, Surman (C), Sh\xe2\x80\xa6'",London
2018-04-20 18:39:50,"b' #JDWPL RT @YClwbPelDroed: LINE-UP | Aberystwyth Town (@AberystwythTown) v Carmarthen Town (@CarmarthenAFC)\n\nMullock, Walker, Young (C), Wollacott,\xe2\x80\xa6'",London
2018-04-20 18:33:30,"b"" #JDWPL RT @tnsfc: Here's how The New Saints line-up for tonight's visit of Connah's Quay Nomads. Scott Ruscoe makes two changes to the team that b\xe2\x80\xa6""",London
2018-04-20 18:33:22,b' #JDWPL RT @the_nomads: Two changes for Nomads tonight with Rob Hughes and Jay Owen starting. They take the places of the suspended Jonny Spittle a\xe2\x80\xa6',London
2018-04-20 18:33:17,"b"" #JDWPL RT @tnsfc: Here's how The New Saints line-up for tonight's visit of Connah's Quay Nomads. Scott Ruscoe makes two changes to the team that b\xe2\x80\xa6""",London
2018-04-20 18:33:07,"b'PERMUTATION |\n\nIf Carmarthen Town fail to win this evening, they will be relegated from the JD Welsh Premier League. #JDWPL'",London
