2018-04-20 20:14:32,b'RT @Breathe4Mendes: Shawn performing \xe2\x80\x9cLost In Japan\xe2\x80\x9d on #SoundsLikeFridayNight (4) https://t.co/9pRUSsFz6L',London
2018-04-20 20:14:31,b'RT @ShawnMTrack: Shawn performing In my blood tonight in #SoundsLikeFridayNight https://t.co/lrGoM8YhqK',London
2018-04-20 20:14:24,b'RT @bbcmusic: \xf0\x9f\x92\x95@ShawnMendes is HERE! #SoundsLikeFridayNight https://t.co/AANb9N88JM',London
2018-04-20 20:14:24,"b' #SoundsLikeFridayNight RT @Corbynator2: ""He\'s put up with the most appalling abuse and he\'s stood it with dignity and stoicism.""\n\nArsenal fan Jeremy Corbyn talks\xe2\x80\xa6'",London
2018-04-20 20:14:23,"b""RT @bbcmusic: HOW GREAT was @ShawnMendes 'In My Blood' performance? \xf0\x9f\x92\x95\n#SoundsLikeFridayNight https://t.co/wC7UIpsulC""",London
2018-04-20 20:14:21,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:14:21,b'RT @bbcmusic: What a pair \xf0\x9f\x98\x8d\n@GregJames @ShawnMendes #SoundsLikeFridayNight https://t.co/sqb617GuOI',London
2018-04-20 20:14:18,b'Shawn performing \xe2\x80\x9cLost In Japan\xe2\x80\x9d on #SoundsLikeFridayNight (4) https://t.co/9pRUSsFz6L',London
2018-04-20 20:14:13,b'RT @bbcmusic: The first time @ShawnMendes has performed live in front of an audience this year \xf0\x9f\x92\x95 #SoundsLikeFridayNight https://t.co/dFnJmb\xe2\x80\xa6',London
2018-04-20 20:14:12,b'RT @bbcmusic: \xf0\x9f\x92\x95@ShawnMendes is HERE! #SoundsLikeFridayNight https://t.co/AANb9N88JM',London
2018-04-20 20:14:08,b'RT @bbcmusic: We think the #SoundsLikeFridayNight crowd enjoyed @ShawnMendes \xf0\x9f\x98\x8e https://t.co/PBWhNW0EVo',London
2018-04-20 20:14:00,b'RT @bbcmusic: \xf0\x9f\x92\x95@ShawnMendes is HERE! #SoundsLikeFridayNight https://t.co/AANb9N88JM',London
2018-04-20 20:13:57,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:13:52,b'RT @ShawnMTrack: Shawn performing Lost in Japan for the first time tonight in #SoundsLikeFridayNight and he killed it wow !! https://t.co/v\xe2\x80\xa6',London
2018-04-20 20:13:51,b'RT @bbcmusic: We think the #SoundsLikeFridayNight crowd enjoyed @ShawnMendes \xf0\x9f\x98\x8e https://t.co/PBWhNW0EVo',London
2018-04-20 20:13:44,b'SHAWN DID THAT #SoundsLikeFridayNight https://t.co/8R5PU1SwT9',London
2018-04-20 20:13:42,b'RT @NJHNEWS: Niall will be on @BBC\xe2\x80\x99s #SoundsLikeFridayNight next week! (April 27th)',London
2018-04-20 20:13:37,"b""RT @bbcmusic: Don't miss @ShawnMendes live on #SoundsLikeFridayNight in just a few hours \xf0\x9f\x98\x8d\n\nWatch: 7.30pm, @BBCOne https://t.co/cSznQO3cyC""",London
2018-04-20 20:13:31,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:13:27,b'RT @bbcmusic: The first time @ShawnMendes has performed live in front of an audience this year \xf0\x9f\x92\x95 #SoundsLikeFridayNight https://t.co/dFnJmb\xe2\x80\xa6',London
2018-04-20 20:13:22,b'RT @bbcmusic: We think the #SoundsLikeFridayNight crowd enjoyed @ShawnMendes \xf0\x9f\x98\x8e https://t.co/PBWhNW0EVo',London
2018-04-20 20:13:21,b'RT @bbcmusic: \xf0\x9f\x92\x95@ShawnMendes is HERE! #SoundsLikeFridayNight https://t.co/AANb9N88JM',London
2018-04-20 20:13:07,b'RT @TrackingSM: THE! CROWD!\n#SoundsLikeFridayNight https://t.co/mAmmbh96f1',London
2018-04-20 20:13:03,b'RT @bbcmusic: \xe2\x9d\xa4\xef\xb8\x8f @JorjaSmith this was utterly stunning #BlueLights\n#SoundsLikeFridayNight https://t.co/rxQGqJSvvm',London
2018-04-20 20:12:53,"b""RT @bbcmusic: HOW GREAT was @ShawnMendes 'In My Blood' performance? \xf0\x9f\x92\x95\n#SoundsLikeFridayNight https://t.co/wC7UIpsulC""",London
2018-04-20 20:12:53,b'RT @ShawnMTrack: Shawn performing In my blood tonight in #SoundsLikeFridayNight https://t.co/lrGoM8YhqK',London
2018-04-20 20:12:51,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:12:48,b'RT @niallerdiaries: \xf0\x9f\x93\xb2UPDATE II Niall will be on @BBC #SoundsLikeFridayNight on upcoming Friday !! https://t.co/HYoH4UkbMt',London
2018-04-20 20:12:47,b'RT @bbcmusic: \xe2\x9d\xa4\xef\xb8\x8f @JorjaSmith this was utterly stunning #BlueLights\n#SoundsLikeFridayNight https://t.co/rxQGqJSvvm',London
2018-04-20 20:12:42,"b""#SoundsLikeFridayNight it's like a shite Top Of The Pops with a more awkward crowd""",London
2018-04-20 20:12:41,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:12:34,b'look at his smile when he hears the crowd singing along with him. my heart #SoundsLikeFridayNight https://t.co/nLy88Hs94q',London
2018-04-20 20:12:28,b'Lost in Japan live is everything!!#SoundsLikeFridayNight',London
2018-04-20 20:12:24,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
