2018-04-20 07:00:32,b' #Woky We are now looking for an investor to work along side us to provide better housing in Berkshire:\xe2\x80\xa6 https://t.co/s5hLa92BPr',London
2018-04-20 06:53:08,b' #Woky More on the Wokingham level crossing issue. A signal fault is affecting services between Reading and Guildford this\xe2\x80\xa6 https://t.co/VZ3kLtr7lg',London
2018-04-20 06:34:57,b'. @johnredwood won\xe2\x80\x99t be able to get to Waitrose #woky https://t.co/S6PVMGX664',London
2018-04-20 06:34:57,"b""RT @getwokingham: We're hearing the level crossing in Wokingham town centre has broken and is stuck down this morning. #Woky. https://t.co/\xe2\x80\xa6""",London
2018-04-20 06:30:25,"b""We're hearing the level crossing in Wokingham town centre has broken and is stuck down this morning. #Woky. https://t.co/jTkTYhYu6J""",London
2018-04-20 06:18:57,"b' #Woky RT @FastTrackFitCmp: Join us for our #charity family Fit Camp on Sunday 29 April at Bearwood Rec, Winnersh. All welcome &amp; all proceeds go t\xe2\x80\xa6'",London
2018-04-19 22:20:29,b'RT @getbracknell: Councillors have been recommended to approve the plans #Bracknell #Woky  https://t.co/g8rZ7Egi8n',London
2018-04-19 21:18:31,b' #Woky RT @Age_UK_Reading: Excited to announce our newest social club! Opening on Thurs 19th Apr at The Birches in Woodley. Our clubs are for olde\xe2\x80\xa6',London
2018-04-19 20:53:11,b'RT @tcbconcertband: A great article about our @NCBF_festival success in @WokyPaper today! \xf0\x9f\x8e\xb6\xf0\x9f\x8f\x86#woky #rdguk #ncbffestival2018 https://t.co/TZZ\xe2\x80\xa6',London
2018-04-19 20:51:05,b'A great article about our @NCBF_festival success in @WokyPaper today! \xf0\x9f\x8e\xb6\xf0\x9f\x8f\x86#woky #rdguk #ncbffestival2018 https://t.co/TZZ5gLtTSK',London
2018-04-19 20:49:25,b' #Woky RT @tcbconcertband: A nice mention in the @dawkesmusic blog. Thanks guys! https://t.co/u56ZORdhrC @NCBF_festival #ncbffestival2018 #platinu\xe2\x80\xa6',London
2018-04-19 20:31:00,b'They are working together to prosecute offenders #woky  https://t.co/dLqfv2mJUY',London
2018-04-19 19:13:58,b' #Woky RT @re3recycling: Hot weather is here and some of us will order iced coffees and smoothies that come with plastic straws. Soon they could b\xe2\x80\xa6',London
2018-04-19 19:01:00,b'People are being urged to be vigilant and report any dumped rubbish #woky  https://t.co/Hq2mr1hgKs',London
2018-04-19 18:13:05,b'#Berkshire #Reading #Bracknell #Newbury #Maidenhead #Slough #Wokingham #woky #rdguk #UV #Index #Pollen #hayfever\xe2\x80\xa6 https://t.co/d2DrRJl62A',London
2018-04-19 17:21:26,b'#Berkshire #Weather for #Friday #Reading #Bracknell #Newbury #Maidenhead #Slough #Wokingham #Windsor #woky #rdguk\xe2\x80\xa6 https://t.co/7vVrqm8Vh4',London
2018-04-19 17:18:33,b' #Woky RT @BerksWeatherUK: #Berkshire #Weather #4DaysOnly #weekend #Reading #Bracknell #Newbury #Maidenhead #Slough #Wokingham #Windsor #rdguk #wo\xe2\x80\xa6',London
2018-04-19 17:18:27,b'RT @BerksWeatherUK: #Berkshire #Overnight #Weather #Thursday #Reading #Bracknell #Newbury #Maidenhead #Slough #Wokingham #Windsor #woky #rd\xe2\x80\xa6',London
2018-04-19 17:07:34,b' #Woky RT @re3recycling: Hot weather is here and some of us will order iced coffees and smoothies that come with plastic straws. Soon they could b\xe2\x80\xa6',London
2018-04-19 16:54:21,b' #Woky RT @re3recycling: Hot weather is here and some of us will order iced coffees and smoothies that come with plastic straws. Soon they could b\xe2\x80\xa6',London
2018-04-19 16:53:18,b' #Woky RT @re3recycling: Hot weather is here and some of us will order iced coffees and smoothies that come with plastic straws. Soon they could b\xe2\x80\xa6',London
