2018-04-20 20:01:53,b'RT @deadandcompany: Flying high into the weekend. #420day https://t.co/seS0YyoBwf',California
2018-04-20 20:01:53,"b""RT @USATODAY: Hey, bud: It's #420day. https://t.co/fLPiyF2EpD https://t.co/szHQOnwhAy""",California
2018-04-20 20:01:53,"b""RT @HuffPost: On #420day, here's the exhaustive list of everyone who's died of a marijuana overdose.\n\nOh wait. \n\nThere's no one. https://t.\xe2\x80\xa6""",California
2018-04-20 20:01:52,b'RT @Lavernecox: Happy #420day. I have never smoked weed in my life but support decriminalization and think we need to get folks out of pris\xe2\x80\xa6',California
2018-04-20 20:01:52,b' #420day RT @Chairmnoomowmow: Breaking: the flaming pussies at the DNC have filed a lawsuit because it\xe2\x80\x99s not fair that they got their corrupt asses\xe2\x80\xa6',California
2018-04-20 20:01:52,"b'RT @anne19brown: On this gorgeous #420Day, exploding #ComeyMemos &amp; @randajarrar who could get her ass fired, a list of awesome #patriots to\xe2\x80\xa6'",California
2018-04-20 20:01:52,b' #420day RT @ChrisJZullo: Republicans war on Marijuana only destroys lives and pads the pockets of opioid companies. Outright bans is exactly the re\xe2\x80\xa6',California
2018-04-20 20:01:52,b'Grooving to @vanmorrison is about as much as I plan to partake in #420day \nThanks for the great vibes\xe2\x80\xa6 https://t.co/NeqpJ2JzuO',California
2018-04-20 20:01:52,b'RT @jlarrison: In honor of #420day - if you are a big fan of @SurvivorCBS #GhostIsland \xe2\x80\x93 you will love this shirt from @JonnyFairplay  - it\xe2\x80\xa6',California
2018-04-20 20:01:52,b'#Happy420\n#420day\n#SuperTroopers2\n#NationalSchoolWalkout\n#FridayFeeling\n#FlashbackFriday\n#NationalLookAlikeDay\xe2\x80\xa6 https://t.co/FxvZ3rIo58',California
2018-04-20 20:01:52,"b"" #420day RT @MrFilmkritik: Today is 4/20, so here\xe2\x80\x99s a reminder that if y'all support the legalization of marijuana, you also need to be supporting d\xe2\x80\xa6""",California
2018-04-20 20:01:52,b'RT @Lavernecox: Happy #420day. I have never smoked weed in my life but support decriminalization and think we need to get folks out of pris\xe2\x80\xa6',California
2018-04-20 20:01:52,b'RT @harikondabolu: All marijuana should be considered \xe2\x80\x9cmedicinal\xe2\x80\x9d while Trump is President. #420Day',California
2018-04-20 20:01:51,b'RT @catvideos12: #420day\n\nThe Dog breaks up a cat fight :o https://t.co/BRYBBg7dZU',California
2018-04-20 20:01:51,b'RT @wyomingpd: Undercover #420day operations are in place. \n\nIncognito traps have been set up throughout the city. \n\n#Happy420 https://t.co\xe2\x80\xa6',California
2018-04-20 20:01:51,"b""RT @HuffPost: On #420day, here's the exhaustive list of everyone who's died of a marijuana overdose.\n\nOh wait. \n\nThere's no one. https://t.\xe2\x80\xa6""",California
2018-04-20 20:01:51,b'RT @SomeonesAnIdiot: One of the greatest quotes of all time #420day https://t.co/tAarClAaS2',California
2018-04-20 20:01:51,b'@GlobalSaskatoon Drug recognition experts? Sign me up!  #420day #LegalizeIt https://t.co/iZfObfAmK2',California
2018-04-20 20:01:50,b'RT @Lavernecox: Happy #420day. I have never smoked weed in my life but support decriminalization and think we need to get folks out of pris\xe2\x80\xa6',California
2018-04-20 20:01:50,"b""For all of y'all who celebrate, happy 420!!! Have fun smoking that dank, but be careful!!! #420day""",California
2018-04-20 20:01:50,"b'Your mcm requested the day off, I asked to get off early #420day'",California
2018-04-20 20:01:49,b'Different types of weed smokers\xf0\x9f\x92\xa8\xf0\x9f\x8d\x83 #iamshawndon #rt #420day https://t.co/mHZEYuuLnk',California
2018-04-20 20:01:49,b'@RyannMLee We\xe2\x80\x99re here when you need a\xe2\x80\xa6bud. Click here to confirm your order. https://t.co/mIQfC4mWuv #SuperTroopers420 \xf0\x9f\x8c\xb2 #420day',California
2018-04-20 20:01:49,"b'Who said today was a REGULAR day? Nah, today is a  GOOD day.\n#420day #HipHop #SnoopsFavoriteHoliday Sure #wish I wa\xe2\x80\xa6 https://t.co/evPGnpfV6v'",California
2018-04-20 20:01:49,b'Happy #420day  to those who are that way inclined \xe2\x9c\x8c\xf0\x9f\x8f\xbc\xe2\x9c\x8c\xf0\x9f\x8f\xbc',California
2018-04-20 20:01:49,"b'RT @Newsweek: Legalizing marijuana nationwide would create one million jobs, study says https://t.co/DhUwKNzQMQ #420day https://t.co/YXOYkD\xe2\x80\xa6'",California
2018-04-20 20:01:48,b' #420day RT @eugenegu: Free all the people of color rotting in prison while John Boehner and a bunch of rich white people get richer selling weed. #\xe2\x80\xa6',California
2018-04-20 20:01:47,b'RT @voxdotcom: Here\xe2\x80\x99s your #420Day reminder that black people are still arrested more often than white people for weed https://t.co/tnf3VOU\xe2\x80\xa6',California
2018-04-20 20:01:47,b'RT @EnergyMau5Freak: #420day #Anonymous #EndTheWarOnDrugs #CannabisActivism #FreeMyPeople #CannabisIsAFlower Call Weed dealers what they ar\xe2\x80\xa6',California
2018-04-20 20:01:47,"b""RT @TheWalkingDead: When you wake up and realize it's #420day https://t.co/f3OMAfrFg4""",California
2018-04-20 20:01:46,"b""RT @TheWalkingDead: When you wake up and realize it's #420day https://t.co/f3OMAfrFg4""",California
2018-04-20 20:01:46,"b"" #420day RT @MrFilmkritik: Today is 4/20, so here\xe2\x80\x99s a reminder that if y'all support the legalization of marijuana, you also need to be supporting d\xe2\x80\xa6""",California
2018-04-20 20:01:46,b'RT @kthjjg: in honor of #420day https://t.co/yVx6MaMLx8',California
2018-04-20 20:01:45,b'RT @deadpoolmovie: Happy #420Day everyone! Let\xe2\x80\x99s be careful out there! https://t.co/qLLDEU7xQO',California
2018-04-20 20:01:45,b'RT @Complex: Mood. #420Day https://t.co/EA5vqiKi1S',California
2018-04-20 20:01:45,"b"" #420day RT @MrFilmkritik: Today is 4/20, so here\xe2\x80\x99s a reminder that if y'all support the legalization of marijuana, you also need to be supporting d\xe2\x80\xa6""",California
2018-04-20 20:01:44,b'RT @BroHumors: My boy out here high af on 4/20 trying to eat cars n shit #420day https://t.co/ZufIDsMwsL',California
2018-04-20 20:01:44,b'RT @kthjjg: in honor of #420day https://t.co/yVx6MaMLx8',California
2018-04-20 20:01:44,"b""RT @theCHIVE: even the reporter can't handle it \xf0\x9f\x92\x80 #420day https://t.co/rjo1miiD34""",California
2018-04-20 20:01:44,"b' #420day RT @CaidenCowger: Just read that ""marijuana never killed anybody."" Tell that to my dead uncle, who was driving too slow, and pulled out in\xe2\x80\xa6'",California
2018-04-20 20:01:43,b'On a flight to Denver on #420day from Nashville. Too bad I\xe2\x80\x99m not staying!',California
2018-04-20 20:01:43,b' #420day RT @sahluwal: As our nation profits from the sale of legalized cannabis I want you to remember the countless Americans sitting behind bars\xe2\x80\xa6',California
