2018-04-20 19:55:23,b'#RingStruck4 it was hard to choose \xf0\x9f\xa4\xa7 https://t.co/A9kK9RUo7c',California
2018-04-20 19:55:20,"b'This was tough, but I think I found a great group of matches. #ringstruck4 https://t.co/6joNeuDcvO'",California
2018-04-20 19:54:56,b'This was a no-brainer for me. Here is my #ringstruck4 :\n\nShawn Michaels vs. The Undertaker (WrestleMania XXVI)\n\nJoh\xe2\x80\xa6 https://t.co/DasvpYJJHk',California
2018-04-20 19:54:44,"b""RT @M0rePrettyLies: This is my second one because it's virtually impossible for me just to pick 4 of my favourites.. #ringstruck4 https://t\xe2\x80\xa6""",California
2018-04-20 19:54:34,b'#RingStruck4\n\nHard to narrow down to 4...but it\xe2\x80\x99s all of these for a number of different reasons. https://t.co/MdqrX00icJ',California
2018-04-20 19:54:15,b' #RingStruck4 RT @WrestlingSheet: one of the best network tv shown matches of all time is angle vs lesnar iron man on smackdown. a true classic. \n\n#rings\xe2\x80\xa6',California
2018-04-20 19:54:03,"b'#RingStruck4 Genuinely can\xe2\x80\x99t narrow it down, so here\xe2\x80\x99s a few faves/reasons I\xe2\x80\x99ve always been so hooked https://t.co/aDo2Hw4K0g'",California
2018-04-20 19:52:42,b'Bit biased towards NXT.. #ringstruck4 https://t.co/m5kLmuTRoL',California
2018-04-20 19:52:37,b'4 matches that made me the wrestling fan I am today #RingStruck4 \n@CMPunk v @JohnCena MITB11\n@TheRock v\xe2\x80\xa6 https://t.co/nuwkONionQ',California
2018-04-20 19:52:37,b' #RingStruck4 Wrestling version today and it\xe2\x80\x99s a good one. I was at Wrestlemania 23 and saw Trump get hit with the Stone Cold Stu\xe2\x80\xa6 https://t.co/XNQGlAr2qy',California
2018-04-20 19:52:25,b'@MotleyGrue\n\n#ringstruck4\nhttps://t.co/ylP8f40Mtn\n\nThat is all.',California
2018-04-20 19:52:14,b'I\xe2\x80\x99ve been waiting 2 days for this pick 4 things meme to hit wrestling so I can make this joke #ringstruck4 https://t.co/vSEfZVGkjw',California
2018-04-20 19:52:03,"b'#RingStruck4 Some of my top matches, some of the reasons why I love wrestling https://t.co/ckix5X57al'",California
2018-04-20 19:51:27,b' #RingStruck4 RT @OlYoungBoi: Probably one of the hardest lists I\xe2\x80\x99ve ever constructed. I have two NXT matches in there for a reason. I truly believe NXT\xe2\x80\xa6',California
2018-04-20 19:51:22,"b""This is my second one because it's virtually impossible for me just to pick 4 of my favourites.. #ringstruck4 https://t.co/a27HnIX7l4""",California
2018-04-20 19:51:19,"b' #RingStruck4 Hulk Hogan Vs. Ultimate Warrior, Wrestlemania VI. Randy Savage Vs. Jake Roberts, Tuesday In Texas 1991. Ric Flair &amp;\xe2\x80\xa6 https://t.co/DwhMkRcvI5'",California
