2018-04-20 19:33:12,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:33:06,"b""RT @ThirteenWNET: Can you guess what @judyblume's favorite book is? \n\nSee if it made the #GreatReadPBS list: https://t.co/5CF3U9CQyV https:\xe2\x80\xa6""",
2018-04-20 19:33:01,b'RT @pbsbooks: Excited for this event! No better way to spend a Saturday afternoon. #books #authors #creativeenergy #GreatReadPBS https://t.\xe2\x80\xa6',
2018-04-20 19:33:00,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:32:33,"b' #GreatReadPBS RT @DetroitPerforms: The @nytimes calls Dyson\xe2\x80\x99s book TEARS WE CANNOT STOP \xe2\x80\x9ca fiery sermon, and an unabashedly emotional, personal appeal.\xe2\x80\x9d\xe2\x80\xa6'",
2018-04-20 19:32:22,b' #GreatReadPBS RT @LVTroost: .@SayreGreenfield and I are voting for Pride and Prejudice. How about you? Explore 100 favorites with The @GreatAmericanReadP\xe2\x80\xa6',
2018-04-20 19:32:12,"b' #GreatReadPBS RT @detroitpublictv: See poet @adalimon discuss inspirations behind her latest collection Bright Dead Things, named a Top-Ten Book of Poetr\xe2\x80\xa6'",
2018-04-20 19:31:54,"b' #GreatReadPBS I got ""You\'ve read 68 out of 100 books on the list!"" on ""How Many Books Have You Read From the List of 100?"". What\xe2\x80\xa6 https://t.co/4C7CcnGxhd'",
2018-04-20 19:31:02,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:30:44,"b'Check out ""How Many Books Have You Read From the List of 100?"" https://t.co/F4eXQmb8yJ #GreatReadPBS'",
2018-04-20 19:30:04,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:29:52,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:29:36,b'RT @PBS: Happy National Library Week! What Library do you visit most? Tag it in the comments below. #GreatReadPBS https://t.co/nEuCuth0fm',
2018-04-20 19:29:25,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:28:43,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:28:41,b'Fave book NOT on the list:  All Quiet on the Western Front  @wfyi https://t.co/QQKO5wCLbo #GreatReadPBS',
2018-04-20 19:28:33,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:28:11,b'Fave book on the list: To Kill a Mockingbird (even tho mockingbirds can be real jerks)  @wfyi https://t.co/QQKO5wCLbo #GreatReadPBS',
2018-04-20 19:28:11,"b"" #GreatReadPBS You can take the quiz to see how many you've read from the 100 list.   Me?  I've only read 72/100.  Need to read mo\xe2\x80\xa6 https://t.co/pbwOmiwInk""",
2018-04-20 19:28:07,"b"" #GreatReadPBS penguinrandom\nCheck out all our books featured on PBS's The Great American Read, including what our book people hav\xe2\x80\xa6 https://t.co/1dKNh8S8D7""",
2018-04-20 19:27:25,"b"" #GreatReadPBS RT @penguinrandom: Check out all our books featured on @PBS's The Great American Read, including what our book people have to say about the\xe2\x80\xa6""",
